BASE 15 2 SCALE 1  |A| = 1800  invariants [ 2, 30, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 30  q(g) reps [ 435, 615 ]  scales c^2 q = [ 435, 615 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 435, 615 ]  scales c^2 q = [ 435, 615 ]  C = [ 2, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 30  q(g) reps [ 345, 705 ]  scales c^2 q = [ 345, 705 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 10  q(g) reps [ 65, 85 ]  scales c^2 q = [ 65, 85 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 10  q(g) reps [ 55, 95 ]  scales c^2 q = [ 55, 95 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 55, 95 ]  scales c^2 q = [ 55, 95 ]  C = [ 6, 30 ]
  |Z| = 30  q(g) reps [ 165, 885 ]  scales c^2 q = [ 165, 885 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 435, 615 ]  scales c^2 q = [ 435, 615 ]  C = [ 2, 30 ]
  |Z| = 10  q(g) reps [ 5, 45 ]  scales c^2 q = [ 5, 45 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 55, 95 ]  scales c^2 q = [ 55, 95 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 65, 85 ]  scales c^2 q = [ 65, 85 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 15, 35 ]  scales c^2 q = [ 15, 35 ]  C = [ 6, 30 ]
  |Z| = 6  q(g) reps [ 5/12 ]  scales c^2 q = [ 15 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 5/12 ]  scales c^2 q = [ 15 ]  C = [ 10, 30 ]
  |Z| = 30  q(g) reps [ 345, 705 ]  scales c^2 q = [ 345, 705 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 105, 645 ]  scales c^2 q = [ 105, 645 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 6  q(g) reps [ 11/12 ]  scales c^2 q = [ 33 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 5/12 ]  scales c^2 q = [ 15 ]  C = [ 10, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 6  q(g) reps [ 1/12 ]  scales c^2 q = [ 3 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 1/12 ]  scales c^2 q = [ 3 ]  C = [ 10, 30 ]
  |Z| = 30  q(g) reps [ 105, 645 ]  scales c^2 q = [ 105, 645 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 195, 555 ]  scales c^2 q = [ 195, 555 ]  C = [ 2, 30 ]
  |Z| = 6  q(g) reps [ 11/12 ]  scales c^2 q = [ 33 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 5/12 ]  scales c^2 q = [ 15 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 5/12 ]  scales c^2 q = [ 15 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 5/12 ]  scales c^2 q = [ 15 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 7/12 ]  scales c^2 q = [ 21 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 1/12 ]  scales c^2 q = [ 3 ]  C = [ 10, 30 ]
  |Z| = 5  q(g) reps [ 10, 15 ]  scales c^2 q = [ 10, 15 ]  C = [ 2, 6, 30 ]
  |Z| = 15  q(g) reps [ 30, 120 ]  scales c^2 q = [ 30, 120 ]  C = [ 2, 2, 30 ]
  |Z| = 15  q(g) reps [ 165, 210 ]  scales c^2 q = [ 165, 210 ]  C = [ 2, 2, 30 
]
  |Z| = 5  q(g) reps [ 5, 20 ]  scales c^2 q = [ 5, 20 ]  C = [ 2, 6, 30 ]
  |Z| = 15  q(g) reps [ 165, 210 ]  scales c^2 q = [ 165, 210 ]  C = [ 2, 2, 30 
]
  |Z| = 15  q(g) reps [ 165, 210 ]  scales c^2 q = [ 165, 210 ]  C = [ 2, 2, 30 
]
  |Z| = 5  q(g) reps [ 5, 20 ]  scales c^2 q = [ 5, 20 ]  C = [ 2, 6, 30 ]
  |Z| = 15  q(g) reps [ 30, 120 ]  scales c^2 q = [ 30, 120 ]  C = [ 2, 2, 30 ]
  |Z| = 5  q(g) reps [ 10, 15 ]  scales c^2 q = [ 10, 15 ]  C = [ 2, 6, 30 ]
  |Z| = 5  q(g) reps [ 10, 15 ]  scales c^2 q = [ 10, 15 ]  C = [ 2, 6, 30 ]
  |Z| = 3  q(g) reps [ 2/3 ]  scales c^2 q = [ 6 ]  C = [ 2, 10, 30 ]
  |Z| = 15  q(g) reps [ 30, 120 ]  scales c^2 q = [ 30, 120 ]  C = [ 2, 2, 30 ]
  |Z| = 15  q(g) reps [ 105, 195 ]  scales c^2 q = [ 105, 195 ]  C = [ 2, 2, 30 
]
  |Z| = 15  q(g) reps [ 105, 195 ]  scales c^2 q = [ 105, 195 ]  C = [ 2, 2, 30 
]
  |Z| = 3  q(g) reps [ 2/3 ]  scales c^2 q = [ 6 ]  C = [ 2, 10, 30 ]
  |Z| = 3  q(g) reps [ 1/3 ]  scales c^2 q = [ 3 ]  C = [ 2, 10, 30 ]
  |Z| = 2  q(g) reps [ 3/4 ]  scales c^2 q = [ 3 ]  C = [ 30, 30 ]
  |Z| = 2  q(g) reps [ 3/4 ]  scales c^2 q = [ 3 ]  C = [ 30, 30 ]
  |Z| = 30  q(g) reps [ 345, 705 ]  scales c^2 q = [ 345, 705 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 30  q(g) reps [ 255, 795 ]  scales c^2 q = [ 255, 795 ]  C = [ 2, 30 ]
  |Z| = 10  q(g) reps [ 5, 45 ]  scales c^2 q = [ 5, 45 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 55, 95 ]  scales c^2 q = [ 55, 95 ]  C = [ 6, 30 ]
  |Z| = 6  q(g) reps [ 7/12 ]  scales c^2 q = [ 21 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 1/12 ]  scales c^2 q = [ 3 ]  C = [ 10, 30 ]
  |Z| = 10  q(g) reps [ 55, 95 ]  scales c^2 q = [ 55, 95 ]  C = [ 6, 30 ]
  |Z| = 10  q(g) reps [ 55, 95 ]  scales c^2 q = [ 55, 95 ]  C = [ 6, 30 ]
  |Z| = 6  q(g) reps [ 1/12 ]  scales c^2 q = [ 3 ]  C = [ 10, 30 ]
  |Z| = 6  q(g) reps [ 1/12 ]  scales c^2 q = [ 3 ]  C = [ 10, 30 ]
  |Z| = 2  q(g) reps [ 1/4 ]  scales c^2 q = [ 1 ]  C = [ 30, 30 ]
  |Z| = 2  q(g) reps [ 3/4 ]  scales c^2 q = [ 3 ]  C = [ 30, 30 ]
LEDGER-RELEVANT: scales t with t = N*d, d squarefree, t <= 120:
  integer scales available: [ 1, 3, 5, 6, 10, 15, 20, 21, 30, 33, 35, 45, 55, 
60, 65, 85, 95, 105, 120, 165, 195, 210, 255, 285, 345, 435, 465, 555, 615, 645,
705, 735, 795, 885 ]
