BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
<105, -177/4>, <35, 3659/121>, <36, -9393/484>, <106, 4527/484>, <37, 
1417885/1452>, <38, 20393/242>, <107, -2155/44>, <39, -296545/264>, <40, 
646177/2376>, <41, -2682815/1056>, <108, -102121/792>, <42, -1417901/3168>, <43,
-268931/108>, <44, 55703863/792>, <109, 44047/352>, <45, 5114/3>, <46, 
-736709/792>, <110, -72683/99>, <111, 147615/88>, <47, -6062423/4752>, <48, 
-88838765/8712>, <49, 16978531/52272>, <50, 194965/2178>, <112, -915809/5808>, 
<51, -1826871769/2376>, <52, 2026789613/9504>, <113, -27059/121>, <53, 
28427123/4752>, <54, -722279/288>, <55, -101565281/594>, <56, 254971843/4356>, 
<114, -26458991/1584>, <115, 15778327/3168>, <57, 4738001/1782>, <58, 
34406321/52272>, <59, -27001835/2178>, <116, -139349/33>, <117, 14253103/17424>,
<60, 416305/2178>, <61, -284531/726>, <118, -37366/121>, <62, -679/33>, <63, 
281980333/2178>, <119, 983/242>, <64, 29256265/26136>, <120, 16936195/8712>, 
<65, 360980528/3267>, <66, 34477039/52272>, <67, -3958872823/104544>, <68, 
-2528919311/34848>, <121, 31609313/17424>, <69, 11611115/9504>, <70, 
-281471453/104544>, <71, 2569517747/11616>, <122, -13858451/11616>, <72, 
-563954495/4356>, <123, -8648891/34848>, <73, -151311757/104544>, <74, 
-29216819/26136>, <124, 163291757/34848>, <125, -16935469/8712>, <75, 
899843/96>, <76, 5119831817/52272>, <77, 22665785/34848>, <78, 
-8837815753/104544>, <79, -4557079045/104544>, <80, -27560761/52272>, <126, 
-3162259/34848>, <81, 281222839/104544>, <82, -2319415/864>, <127, 
11787403/5808>, <128, -255469/96>, <129, 10128455/34848>, <83, 
1056117877/26136>, <84, -1839353/2376>, <85, -3038897513/17424>, <130, 
3101225/2904>, <86, -90862019/52272>, <131, -43974049/17424>, <87, 
-2220876059/104544>, <88, -379074571/313632>, <132, 3475601/34848> ]
FORMC 10 [ <1, -5/132>, <2, 25/484>, <3, 3/484>, <4, -3/484>, <5, 25/132>, <6, 
11/18>, <7, -7/66>, <8, 21/44>, <9, -7/66>, <10, -647/132>, <11, 25/22>, <12, 
19/44>, <13, -3/121>, <14, 1/484>, <15, -2/11>, <16, 7/242>, <17, 1183/198>, 
<18, -14/33>, <19, -38/33>, <20, 27/44>, <21, 12211/792>, <22, -27/22>, <23, 
-2075/2178>, <24, -4915/968>, <25, 19/121>, <26, -24/121>, <27, -8419/594>, <28,
-17285/792>, <29, 37/18>, <30, -125/132>, <31, 65125/792>, <32, 1319/22>, <33, 
-97/33>, <34, -1541/132>, <35, 137/121>, <36, -17/44>, <37, 15799/1452>, <38, 
-168/121>, <39, -24889/792>, <40, 2015/198>, <41, -7885/352>, <42, 185/176>, 
