AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 138 [ -179, 90, 0, 59, 62, -30, -32, 1, 2, 58, -27, -3 ]
MONO 139 [ -179, 90, 0, 59, 62, -29, -30, 0, 0, 58, -28, -2 ]
MONO 140 [ -179, 90, 0, 60, 59, -30, -30, 0, 1, 60, -29, -1 ]
MONO 141 [ -179, 91, -1, 58, 59, -28, -30, 2, 1, 58, -28, -2 ]
MONO 142 [ -179, 91, -1, 58, 59, -28, -29, 0, 2, 58, -27, -3 ]
MONO 143 [ -179, 91, -1, 61, 59, -31, -29, 2, 0, 57, -26, -3 ]
MONO 144 [ -179, 92, 0, 58, 59, -28, -29, 0, 0, 58, -28, -2 ]
MONO 145 [ -178, 88, 1, 56, 58, -23, -29, -1, 1, 58, -27, -3 ]
MONO 146 [ -178, 89, 0, 56, 58, -24, -28, 0, 0, 58, -28, -2 ]
MONO 147 [ -178, 89, 0, 58, 58, -28, -29, 0, 1, 60, -29, -1 ]
MONO 148 [ -178, 89, 0, 58, 58, -27, -27, -1, -1, 60, -30, 0 ]
MONO 149 [ -178, 89, 0, 58, 59, -28, -29, 0, 0, 61, -29, -2 ]
MONO 150 [ -178, 89, 0, 58, 63, -28, -31, 0, 0, 57, -27, -2 ]
MONO 151 [ -178, 89, 0, 59, 58, -29, -28, 0, 0, 57, -25, -2 ]
MONO 152 [ -178, 89, 0, 59, 59, -30, -30, 1, 1, 58, -24, -4 ]
MONO 153 [ -178, 89, 0, 59, 59, -30, -29, 3, 0, 58, -27, -3 ]
MONO 154 [ -178, 89, 0, 60, 60, -30, -30, 0, 0, 56, -24, -2 ]
MONO 155 [ -178, 90, -1, 59, 59, -32, -30, 5, 1, 58, -27, -3 ]
MONO 156 [ -178, 93, -2, 59, 59, -30, -30, 1, 1, 58, -28, -2 ]
MONO 157 [ -177, 87, 1, 54, 58, -18, -29, -4, 1, 59, -29, -2 ]
MONO 158 [ -176, 88, 1, 58, 58, -29, -28, 1, 0, 58, -28, -2 ]
MONO 159 [ -176, 92, -2, 58, 58, -29, -29, 0, 0, 58, -29, 0 ]
MONO 160 [ -175, 88, 0, 59, 58, -30, -30, 1, 2, 58, -27, -3 ]
MONO 161 [ -175, 88, 0, 59, 58, -29, -28, 0, 0, 58, -28, -2 ]
MONO 162 [ -174, 87, 0, 57, 57, -27, -27, 0, 0, 58, -28, -2 ]
MONO 163 [ -174, 87, 0, 58, 57, -29, -28, 1, 1, 55, -23, -4 ]
MONO 164 [ -174, 87, 1, 58, 57, -29, -30, 0, 2, 55, -21, -5 ]
MONO 165 [ -174, 88, -1, 57, 57, -30, -30, 3, 3, 58, -27, -3 ]
MONO 166 [ -174, 88, 0, 57, 57, -28, -28, 0, 0, 58, -27, -2 ]
MONO 167 [ -174, 88, 0, 58, 56, -29, -27, 0, 0, 54, -23, -2 ]
MONO 168 [ -174, 88, 0, 58, 57, -30, -28, 3, 0, 55, -25, -3 ]
MONO 169 [ -174, 89, -1, 56, 53, -27, -18, 0, -4, 57, -29, -1 ]
MONO 170 [ -174, 89, -1, 56, 57, -27, -28, 0, 0, 53, -19, -5 ]
MONO 171 [ -174, 89, -1, 57, 55, -29, -22, 1, -2, 56, -27, -2 ]
