AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
MONO 79 [ 0, -1, -2, 2, 0, 5, 0, 0, -3, 2, 1, -1, 1, -2, -1, 0, -2, 3, -3, 3, 0,6, 7, -14 ]
MONO 80 [ 0, -1, -2, 2, 0, 5, 2, 1, -3, -1, 2, -2, -1, -1, -4, -1, 1, 5, -1, 2, 0, 5, 7, -14 ]
MONO 81 [ 0, -1, -2, 2, 2, 4, 0, 0, -1, 0, 0, -2, 1, -1, -4, -1, -1, 7, -3, 4, 0, 9, 12, -24 ]
MONO 82 [ 0, -1, -2, 2, 2, 5, 0, 0, -3, 0, 0, -2, 1, -1, -3, -1, 0, 5, -1, 2, 0,5, 7, -14 ]
MONO 83 [ 0, -1, -1, 1, -1, 1, 0, 5, 1, 3, 2, -3, 0, -3, -4, 0, -4, 5, -5, 8, 0,9, 12, -24 ]
MONO 84 [ 0, -1, -1, 1, -1, 2, -1, 5, 1, 2, 1, -3, 1, -1, -5, 1, -2, 6, -6, 4, -2, 9, 16, -25 ]
MONO 85 [ 0, -1, -1, 1, -1, 2, 0, 5, -1, 3, 2, -3, 0, -3, -3, 0, -3, 3, -3, 6, 0, 5, 7, -14 ]
MONO 86 [ 0, -1, -1, 1, -1, 3, -1, 5, -1, 2, 1, -3, 1, -1, -4, 1, -1, 4, -4, 2, -2, 5, 11, -15 ]
MONO 87 [ 0, -1, -1, 1, -1, 3, 0, 3, 0, 1, 2, -2, 0, -2, -4, 0, -4, 5, -5, 8, 0,9, 14, -25 ]
MONO 88 [ 0, -1, -1, 1, -1, 3, 1, 3, 0, 1, 2, -2, 0, -1, -4, 1, -3, 5, -6, 5, -2, 9, 16, -25 ]
MONO 89 [ 0, -1, -1, 1, -1, 4, 0, 3, -2, 1, 2, -2, 0, -2, -3, 0, -3, 3, -3, 6, 0, 5, 9, -15 ]
MONO 90 [ 0, -1, -1, 1, -1, 4, 1, 3, -2, 1, 2, -2, 0, -1, -3, 1, -2, 3, -4, 3, -2, 5, 11, -15 ]
MONO 91 [ 0, -1, -1, 1, 0, 1, 0, 3, 2, 0, 1, -2, 0, -1, -3, 1, -1, 4, -5, 5, -1,9, 13, -24 ]
MONO 92 [ 0, -1, -1, 1, 0, 2, 0, 3, 0, 0, 1, -2, 0, -1, -2, 1, 0, 2, -3, 3, -1, 5, 8, -14 ]
MONO 93 [ 0, -1, -1, 2, 0, 2, -3, 0, 0, 8, -1, 0, 1, -4, 0, 0, -5, 4, -5, 6, 0, 10, 12, -24 ]
MONO 94 [ 0, -1, -1, 2, 0, 2, 0, 0, 0, 1, -1, 0, 1, -2, 0, 1, -4, 4, -5, 7, 0, 9, 12, -24 ]
MONO 95 [ 0, -1, -1, 2, 0, 3, -3, 0, -2, 8, -1, 0, 1, -4, 1, 0, -4, 2, -3, 4, 0,6, 7, -14 ]
