[SIG] 6 29 sgn=1   diag=[ -1302, 290/217, -174/5 ] det=60552 signature=(1,2)
[DIFF] 6 29 sgn=1   m=238  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=241  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=244  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=247  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=248  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=250  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=252  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=253  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=254  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=256  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=259  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=262  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=265  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=268  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=270  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=271  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=274  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=277  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=279  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=280  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=283  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=286  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=289  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=292  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=295  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=298  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=301  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=302  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=304  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=306  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=307  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=310  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=312  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=313  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=316  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=318  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=319  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=322  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=324  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=325  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=328  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=331  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=333  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=334  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=337  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=340  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=343  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=346  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=349  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=350  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=352  finite_fail=[ 3 ] arch_fail=false
