[SIG] 6 19 sgn=1   diag=[ -262, -114/131, 114 ] det=25992 signature=(1,2)
[DIFF] 6 19 sgn=-1  m=176  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=178  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=179  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=180  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=182  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=185  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=188  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=191  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=194  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=197  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 19 sgn=-1  m=200  finite_fail=[ 2, 3 ] arch_fail=false
