[DIFF] 10 13 sgn=-1  m=68   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=72   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=73   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=75   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=77   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=78   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=82   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=83   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=87   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=88   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=92   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=93   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=97   finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=98   finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=102  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=103  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=107  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=108  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=112  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=113  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=114  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=117  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=118  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=122  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=123  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=127  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=128  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=130  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=132  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=133  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=136  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=137  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=138  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=142  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=143  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=146  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=147  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=148  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=152  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=153  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=157  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=158  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=162  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=163  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=167  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=168  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=172  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=173  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=175  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=177  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=178  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=182  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=183  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=187  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=188  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=192  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=193  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=194  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=197  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=198  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=200  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=202  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=203  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=207  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=208  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=210  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=212  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=213  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=217  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=218  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=222  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=223  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=226  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=227  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=228  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=232  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=233  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=237  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=238  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=242  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=243  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=247  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=248  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=252  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=253  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=257  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=258  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=262  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=263  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=264  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=267  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=268  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=272  finite_fail=[ 5 ] arch_fail=false
